epoch,accuracy,learning_rate,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.33442163467407227,9.999999747378752e-05,2.939481258392334,0.9365671873092651,0.4625000059604645,1.9821146726608276,0.9416666626930237
1,0.3992537260055542,9.999999747378752e-05,1.6446797847747803,0.9416977763175964,0.4333333373069763,1.9037014245986938,0.9458333253860474
2,0.4636194109916687,9.999999747378752e-05,1.4902894496917725,0.9589552283287048,0.47083333134651184,1.7259122133255005,0.9583333134651184
3,0.48134326934814453,9.999999747378752e-05,1.4614958763122559,0.9496268630027771,0.4791666567325592,1.6007035970687866,0.9583333134651184
4,0.48833954334259033,9.999999747378752e-05,1.4460972547531128,0.9570895433425903,0.5166666507720947,1.4374523162841797,0.9583333134651184
5,0.5055969953536987,9.999999747378752e-05,1.3855324983596802,0.9762126803398132,0.4749999940395355,1.994315266609192,0.9666666388511658
6,0.5163246393203735,9.999999747378752e-05,1.4169120788574219,0.9626865386962891,0.574999988079071,1.270053744316101,0.9791666865348816
7,0.5340484976768494,9.999999747378752e-05,1.3542985916137695,0.9682835936546326,0.574999988079071,1.3048317432403564,0.9750000238418579
8,0.5452425479888916,9.999999747378752e-05,1.348161220550537,0.9626865386962891,0.5541666746139526,1.275490164756775,0.9458333253860474
9,0.5508395433425903,9.999999747378752e-05,1.3409337997436523,0.9720149040222168,0.5833333134651184,1.2117196321487427,0.9583333134651184
10,0.558768630027771,9.999999747378752e-05,1.3116267919540405,0.96875,0.6000000238418579,1.1353344917297363,0.9791666865348816
11,0.5643656849861145,9.999999747378752e-05,1.3128838539123535,0.9743469953536987,0.5708333253860474,1.1653592586517334,0.987500011920929
12,0.5713619589805603,9.999999747378752e-05,1.2834126949310303,0.972481369972229,0.6333333253860474,1.0090656280517578,0.9833333492279053
13,0.5844216346740723,9.999999747378752e-05,1.2655457258224487,0.9790111780166626,0.5708333253860474,1.2494921684265137,0.9958333373069763
14,0.5764925479888916,9.999999747378752e-05,1.267289638519287,0.9799440503120422,0.5916666388511658,1.1439491510391235,0.987500011920929
15,0.5923507213592529,9.999999747378752e-05,1.2452408075332642,0.9785447716712952,0.5708333253860474,1.1740974187850952,1.0
16,0.5956156849861145,9.999999747378752e-05,1.2307292222976685,0.9771454930305481,0.5541666746139526,1.2793521881103516,0.9916666746139526
17,0.5914179086685181,9.999999747378752e-05,1.2463209629058838,0.9841417670249939,0.5791666507720947,1.132983922958374,0.9833333492279053
18,0.6194030046463013,9.999999747378752e-06,1.1828482151031494,0.9827425479888916,0.7041666507720947,0.8461216688156128,0.9958333373069763
19,0.5993469953536987,9.999999747378752e-06,1.2295211553573608,0.9808768630027771,0.7083333134651184,0.8332489132881165,0.9916666746139526
20,0.6222015023231506,9.999999747378752e-06,1.1931812763214111,0.9850746393203735,0.7208333611488342,0.7874829769134521,0.9916666746139526
21,0.6100746393203735,9.999999747378752e-06,1.2190059423446655,0.9841417670249939,0.7250000238418579,0.8051684498786926,0.9916666746139526
22,0.6198694109916687,9.999999747378752e-06,1.1894659996032715,0.9860074520111084,0.7291666865348816,0.7809123992919922,0.9958333373069763
23,0.6026119589805603,9.999999747378752e-06,1.2062649726867676,0.9799440503120422,0.7333333492279053,0.784035325050354,0.9958333373069763
24,0.6263992786407471,9.999999747378752e-06,1.1643922328948975,0.985541045665741,0.737500011920929,0.7734466791152954,0.9958333373069763
25,0.6170709133148193,9.999999747378752e-06,1.199442744255066,0.9790111780166626,0.7458333373069763,0.7674427032470703,0.9916666746139526
26,0.5979477763175964,9.999999747378752e-06,1.2001501321792603,0.986940324306488,0.75,0.7552593350410461,0.9958333373069763
27,0.6231343150138855,9.999999747378752e-06,1.1886241436004639,0.9860074520111084,0.737500011920929,0.7831917405128479,0.9958333373069763
28,0.6096082329750061,9.999999747378752e-06,1.180687427520752,0.9850746393203735,0.7083333134651184,0.7773101925849915,0.9958333373069763
29,0.6347947716712952,9.999999747378752e-06,1.157772183418274,0.9860074520111084,0.7333333492279053,0.7624180912971497,1.0
30,0.6291977763175964,9.999999747378752e-06,1.179937481880188,0.9841417670249939,0.7291666865348816,0.7575075626373291,1.0
31,0.6422574520111084,9.999999747378752e-06,1.138232946395874,0.9850746393203735,0.75,0.7449654936790466,0.9958333373069763
32,0.621268630027771,9.999999747378752e-06,1.173904538154602,0.9883395433425903,0.737500011920929,0.751441240310669,1.0
33,0.6296641826629639,9.999999747378752e-06,1.1695287227630615,0.983208954334259,0.7333333492279053,0.8399382829666138,1.0
34,0.625,9.999999747378752e-06,1.1580324172973633,0.983208954334259,0.7291666865348816,0.7590705752372742,1.0
35,0.6333954930305481,9.999999747378752e-06,1.176756739616394,0.9822761416435242,0.7458333373069763,0.7532369494438171,1.0
36,0.6277984976768494,9.999999747378752e-06,1.1656962633132935,0.9846082329750061,0.7416666746139526,0.7509039640426636,1.0
37,0.6291977763175964,9.999999974752427e-07,1.1656876802444458,0.9864738583564758,0.7458333373069763,0.7484245300292969,0.9958333373069763
38,0.6343283653259277,9.999999974752427e-07,1.1579307317733765,0.9864738583564758,0.7458333373069763,0.7504304647445679,1.0
